,stockX,flightClub,goat,shoeName,brand,silhoutte,make,colorway,retailPrice,thumbnail,releaseDate,description
221,444,435.0,437.0,Jordan 1 Retro High Dark Mocha,Nike,Jordan 1 Retro High,Jordan 1 Retro High,Sail/Dark Mocha-Black-Black,170.0,https://images.stockx.com/images/Air-Jordan-1-Retro-High-Dark-Mocha-2-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1616187367,2020-10-31,"Featuring a look similar to Travis Scott's 2019 Air Jordan 1 collaboration, the Air Jordan 1 Retro High OG 'Dark Mocha' released in October 2020. The shoe's upper is built with leather, sporting a white base overlaid by black leather. The heel and collar incorporate Dark Mocha nubuck, while a nylon tongue and perforations on the toe box maintain the classic aesthetic. Air in the heel of the midsole provides cushioning."
222,117,95.0,95.0,Jordan 1 Retro High OG Heirloom,Nike,Jordan 1 Retro High OG,Jordan 1 Retro High OG,Vachetta Tan/Black/Sail,170.0,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Heirloom-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1664259158,2022-09-17,"Featuring unique materials and colors, the Air Jordan 1 Retro High OG 'Heirloom' offers an understated take on the classic AJ1 silhouette. The upper features black twill on the profile, toe and heel area, while Vachetta Tan leather overlays the rest of the upper including the Swoosh and Wings logo. A Sail midsole blends in seamlessly, housing encapsulated Nike Air cushioning on top of a durable tan rubber outsole."
223,104,83.0,83.0,Nike Air Max 1 Crepe Hemp (2022),Nike,Nike Air Max 1,Nike Air Max 1,Medium Brown/Mint Foam/Mushroom/Muslin,180.0,https://images.stockx.com/images/Nike-Air-Max-1-Crepe-Medium-Brown-Mint-Foam-Mushroom-Muslin-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1664348069,2022-09-15,
224,1120,885.0,885.0,Jordan 1 Low Fragment x Travis Scott,Nike,Jordan 1 Low,Jordan 1 Low,White/Black-Royal- Sail,150.0,https://images.stockx.com/images/Air-Jordan-1-Low-fragment-design-x-Travis-Scott-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1629307046,2021-08-13,"The Fragment Design x Travis Scott x Air Jordan 1 Retro Low released as part of a collaboration with the Houston rapper and Japanese imprint. Featuring a colorway that recalls previous fragment design collaborations, the shoe's upper is built with a white leather base, overlaid by black and royal blue and complemented by inverted Swoosh branding on the lateral side. The heel patch of the left shoe includes Cactus Jack branding and a smiley face logo, while fragment's lightning bolt marks the right shoe. Underfoot, a two-tone rubber cupsole anchors the design."
225,100,104.0,104.0,Air Jordan 1 Mid Tartan Swoosh,Nike,Air Jordan 1 Mid,Air Jordan 1 Mid,Black/Multi-Color-Sesame-Fire Red-White,135.0,https://images.stockx.com/images/Air-Air-Jordan-1-Mid-Tartan-Swoosh-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1668754099,2022-11-10,
226,128,135.0,138.0,Jordan 1 Retro High OG Dark Marina Blue,Nike,Jordan 1 Retro High OG,Jordan 1 Retro High OG,Dark Marina Blue/Black-White,170.0,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Dark-Marina-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1642023273,2022-02-16,"Dressing the legendary silhouette in a classic two-tone color block is the Air Jordan 1 Retro High OG 'Dark Marina Blue.' The upper is all-leather and features a black base with contrasting dark blue overlays along the forefoot, heel, collar, and eyestay. A matching blue Swoosh is complemented by a Jordan Wings logo stamped in black on the lateral collar flap. A woven Nike Air tag on the nylon tongue gives the nod to the shoe's retro cushioning technology, which is an Air-sole unit encapsulated in polyurethane nestled in the heel of the rubber cupsole."
227,170,185.0,193.0,Nike Dunk Low Triple Pink (GS),Nike,Nike Dunk Low,Nike Dunk Low,Pink/Pink,85.0,https://images.stockx.com/images/Nike-Dunk-Low-Triple-Pink-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1661523004,2022-06-01,"The Dunk Low GS 'Triple Pink' also known as 'Barbie' updates the traditional design of the vintage Nike basketball shoe. The sneaker goes against the traditional two-tone color blocking with an all-leather upper in light pink for both the base and overlays. Hot pink highlights Nike branding along the Swoosh, tongue tag, and heel. While the rubber outsole secures the build, a breathable nylon tongue gives comfort."
228,136,126.0,126.0,Nike SB Dunk Low Pro QS Neckface,Nike,Nike SB Dunk Low Pro QS,Nike SB Dunk Low Pro QS,Black/White-Multi Color,120.0,https://images.stockx.com/images/Nike-Dunk-SB-Low-Pro-QS-Neckface-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1666851980,2022-10-27,LA-based graffiti artist Neckface works with Nike SB again on a Dunk Low Pro SB. A black suede upper is the perfect base for a series of patches that feature Neckface's macabre artwork across the entire shoe. The tongue tags feature 'Neck SB' and 'Face SB' while the left shoe features a 'Shockers' graphic wrapped around the left midsole.
229,170,150.0,171.0,Nike Air Force 1 Low SP Supreme Wheat,Nike,Nike Air Force 1 Low SP,Nike Air Force 1 Low SP,Flax/Flax-Gum Light Brown,150.0,https://images.stockx.com/images/Nike-Air-Force-1-Low-Supreme-Flax-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1637088094,2021-11-05,"The Supreme x Nike Air Force 1 Low SP 'Wheat' is made exclusively for the influential New York skate brand. It showcases a familiar build that recalls Timberland's iconic work boots and has a monochrome beige hue executed on a smooth nubuck upper, lined in soft DURAPLUSH that's accented with Supreme's red box logo on the lateral heel. Dual branding elements adorn the sneaker's woven tongue tag, sockliner and metallic lace jewels. It's built on a gum rubber cupsole that packs Nike Air heel cushioning in the heel, encapsulated within a foam wedge."
230,135,119.0,119.0,Jordan 1 Low Craft Inside Out Black,Nike,Jordan 1 Low,Jordan 1 Low,Black/Grey-Orange,110.0,https://images.stockx.com/images/Air-Jordan-1-Low-Inside-Out-Black-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1667200415,2022-10-04,
231,83,,,Nike Youth Tech Fleece Hoodie Black/Black,Nike,Nike Youth Tech Fleece,Nike Youth Tech Fleece,Black/Black,100.0,https://images.stockx.com/images/Nike-Youth-Tech-Fleece-Hoodie-Black-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1658844635,2022-07-25,
232,130,128.0,128.0,Nike Dunk Low Grey Panda Volt,Nike,Nike Dunk Low,Nike Dunk Low,Black/Volt/White/Photon Dust,110.0,https://images.stockx.com/images/Nike-Dunk-Low-Grey-Panda-Volt-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1674547542,2023-01-18,
233,107,83.0,83.0,adidas Yeezy Slide Ochre,Adidas,adidas Yeezy Slide,adidas Yeezy Slide,Ochre/Ochre/Ochre,60.0,https://images.stockx.com/images/adidas-Yeezy-Slide-Ochre-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1638805392,2021-12-13,Featuring a rubberized foam build with a lightly textured finish is the adidas Yeezy Slide 'Ochre.' Its aged aesthetic comes from a diffuse brown palette marked with subtly discolored patches. Branding is limited to an adidas three-stripe logo on the soft top layer of the footbed. The slip-on is built on an outsole with deep horizontal grooves to improve cushioning and traction.
234,200,189.0,197.0,Jordan 3 Retro Dark Iris,Nike,Jordan 3 Retro,Jordan 3 Retro,White/Black/Dark Iris/Cement Grey,200.0,https://images.stockx.com/images/Air-Jordan-3-Retro-Dark-Iris-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1662666801,2022-08-24,"Bringing a revamped color palette to the basketball classic that introduced visible Air cushioning to the Jordan franchise is the Air Jordan 3 Retro 'Dark Iris.' It features a white tumbled leather upper with signature elephant print overlays in a dark grey finish. Violet splashes are on the eyelets, perforated collar, and the rear of the polyurethane midsole. Jumpman branding adorns the leather tongue and molded heel overlay. It's built on a grey rubber outsole for better grip."
235,166,135.0,135.0,Jordan 4 Retro Infrared (GS),Nike,Jordan 4 Retro,Jordan 4 Retro,Dark Grey/Infrared 23-Black-Cement Grey,160.0,https://images.stockx.com/images/Air-Jordan-4-Retro-Infrared-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1646935173,2022-06-15,
236,95,,,Nike Tech Fleece Hoodie Midnight Navy/Black,Nike,Nike Tech Fleece,Nike Tech Fleece,Midnight Navy/Black,130.0,https://images.stockx.com/images/Nike-Tech-Fleece-Hoodie-Midnight-Navy-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1658844634,2022-07-25,"The Nike Tech Fleece Hoodie Midnight Navy Black has a lightweight insulator layer and comes in a Midnight Navy Black colorway.
<br>
<br>
This Fleece Hoodie by Nike has a 4-panel hood that has a streamlined look. This product also features a zippered pocket on the right sleeve that provides storage for essentials, like keys and a phone. This clothing item also features transparent taping highlighting heritage design lines on the front hoodie closure zip and on the zippered sleeve pocket.
<br>
<br>
With a suggested retail price of $130, the Nike Tech Fleece Hoodie Midnight Navy Black went on sale for the first time on July 25, 2022."
237,159,150.0,150.0,Nike LD Waffle sacai Undercover Midnight Spruce University Red,Nike,Nike LD Waffle,Nike LD Waffle,Midnight Spruce/Pale Ivory-Dark Grey-University Red,170.0,https://images.stockx.com/images/Nike-LDWaffle-CLOT-Undercover-Dark-Green-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1633530593,2021-10-29,"Incorporating some of the design from the vintage LDV and Waffle Racer '70s runners is the sacai x Undercover x Nike LDWaffle. It features a dark teal finish on the stitched nylon upper, with a red leather and off-white suede double-Swoosh, and layered overlays in black leather and grey suede. A hybrid Nike/sacai logo is stamped on the leather heel tab, with the secondary tongue having a discrete Undercover branding on the woven tag. It's built on a stacked off-white foam midsole with an extended heel and scarlet waffle-traction rubber outsole."
238,55,45.0,45.0,Nike React Phantom Run Flyknit 2 Black Team Orange,Nike,Nike React Phantom Run Flyknit 2,Nike React Phantom Run Flyknit 2,Black/Team Orange/Electric Green/White,140.0,https://images.stockx.com/images/Nike-React-Phantom-Run-Flyknit-2-Black-Team-Orange-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1660675092,2022-04-09,
239,148,141.0,141.0,Jordan 11 Retro Midnight Navy (W),Nike,Jordan 11 Retro,Jordan 11 Retro,Midnight Navy/Metallic Silver/White,225.0,https://images.stockx.com/images/Air-Jordan-11-Retro-Midnight-Navy-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1668668672,2022-11-11,Tinker Hatfield’s iconic 1995 design is reimagined in the women's Air Jordan 11 ‘Midnight Navy Velvet.’ The upper in deep-navy blue nubuck features an eye-popping matte velvet replacing the trademark patent leather on the mudguard. Tonal webbing eyelets in navy deliver a textural layer. The monochrome upper is interrupted only by a metallic silver Jumpman logo and its white Phylon midsole atop a translucent rubber outsole.
240,86,,80.0,Crocs Classic Clog Cinnamon Toast Crunch,Crocs,Crocs Classic Clog,Crocs Classic Clog,Brown/Light Brown/Blue,70.0,https://images.stockx.com/images/Crocs-Classic-Clog-Cinnamon-Toast-Crunch-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1651844486,2022-04-28,"In collaboration with Kellogg's Cinnamon Toast Crunch, the Crocs Classic Clog Cinnamon Toast Crunch features a marbled brown and white foam construction with a checkered, multicolored ankle strap and blue heel pad. Atop the upper, Cinnamon Toast Crunch-themed jibbitz accentuate the fun theme.
<br>
<br>
The Crocs Classic Clog Cinnamon Toast Crunch released in May of 2022."
